scheduler,jobs_measured,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,trace,window,capacity,jobs_total,jobs_dropped_oversized,offered_load
FIFO_STRICT,904,1216.4004424778761,0.0,12051.849999999984,15154.0,7.712020451692026,27.072245841035105,3446.3561946902655,0.8829523296971654,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
SJF_ORACLE,904,310.7378318584071,0.0,643.9499999999994,34627.0,1.859776850830743,2.7394736842105147,2540.6935840707965,0.9752430937130926,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
SJF_USEREST,904,334.6449115044248,0.0,831.5999999999931,28553.0,2.0174146348165634,3.0170688225538806,2564.6006637168143,0.9726631117472122,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
HRRN_USEREST,904,335.228982300885,0.0,831.5999999999931,28553.0,2.0171633301417224,2.921987673989596,2565.184734513274,0.9721049760644914,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
SMALLEST_FIRST,904,338.56526548672565,0.0,744.4499999999985,28553.0,2.0955434796154897,2.830192307692298,2568.521017699115,0.9734797898194307,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
EASY_USEREST,904,554.8495575221239,0.0,3784.2499999999995,23681.0,3.3065801134050923,7.545505092385855,2784.8053097345132,0.9216715119069161,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
EASY_ORACLE,904,490.9944690265487,0.0,3252.449999999975,13831.0,2.406783296963849,4.08148907103825,2720.950221238938,0.916042452551154,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
CONS_BF_USEREST,904,666.7101769911504,0.0,5250.449999999997,16820.0,3.600152776708148,10.998844259188928,2896.6659292035397,0.9103004190040969,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
SRPT_ORACLE,904,227.1946902654867,0.0,335.6499999999992,22702.0,1.022917815053254,1.0662334155691109,2457.150442477876,0.9788972777605618,0.4816027161842178,462,lanl,5,1024,1463,0,0.4819011863425926
PROACTIVE,904,316.9845132743363,0.0,635.4999999999864,28553.0,1.956848263477518,2.611957513715139,2546.940265486726,0.9755497596987234,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
PROACTIVE_EST,904,324.2555309734513,0.0,715.6499999999992,28553.0,1.9948113619517902,2.8330238726790373,2554.211283185841,0.9749669236364401,0.4776641286091889,0,lanl,5,1024,1463,0,0.4819011863425926
FCFS,813,273.81426814268144,0.0,1499.5999999999992,12924.0,1.9929499279184855,2.952935323383082,2442.4046740467406,0.946925044671248,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
FIFO_STRICT,813,730.9126691266913,0.0,3840.5999999999995,6646.0,4.584960070999695,26.214893617021218,2899.50307503075,0.8021656265984435,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
SJF_ORACLE,813,219.5608856088561,0.0,1216.5999999999992,12625.0,1.6713351357694644,2.509942950285248,2388.151291512915,0.9514878829734836,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
SJF_USEREST,813,323.14514145141453,0.0,1287.1999999999975,24066.0,2.332885834565108,2.6540314136125587,2491.7355473554735,0.9606026615959168,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
HRRN_USEREST,813,300.34809348093484,0.0,1457.9999999999995,22793.0,2.14032623897835,2.2151991698508278,2468.938499384994,0.9558889147820642,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
SMALLEST_FIRST,813,311.3653136531365,0.0,1551.3999999999955,15849.0,2.1443804097847803,2.575230894186398,2479.9557195571956,0.9573027327808238,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
EASY_USEREST,813,426.75153751537516,0.0,3585.3999999999996,9824.0,2.801818090828632,5.896679605258118,2595.3419434194343,0.9024401880022939,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
EASY_ORACLE,813,268.19926199261994,0.0,2257.3999999999996,5108.0,1.6440625191694835,3.3886595776343724,2436.789667896679,0.9125212517362783,0.4313293774325685,0,lanl,6,1024,1251,0,0.4402075737847222
