trace,reference,scheduler,metric,mean_wait_sched,mean_wait_ref,mean_diff,pct_vs_ref,cohens_dz,ttest_p,wilcoxon_p,ttest_p_holm,wilcoxon_p_holm,mean_bounded_slowdown_sched,mean_bounded_slowdown_ref
sdsc,EASY_USEREST,SJF_ORACLE,mean_wait,6650.464388749965,11705.170880242451,-5054.706491492484,-43.18353438158252,-0.8658580308270362,0.0010258400525562147,0.000133514404296875,0.009232560473005932,0.001201629638671875,,
sdsc,EASY_USEREST,SJF_USEREST,mean_wait,6946.289699633102,11705.170880242451,-4758.881180609349,-40.6562298773615,-0.8365943848979271,0.0013829553300410764,0.000850677490234375,0.011063642640328612,0.006805419921875,,
sdsc,EASY_USEREST,SMALLEST_FIRST,mean_wait,8697.251757691665,11705.170880242451,-3007.919122550786,-25.697353360538745,-0.6325330205688473,0.01072873194630177,0.03276824951171875,0.05364365973150885,0.07185173034667969,,
sdsc,EASY_USEREST,SRPT_ORACLE,mean_wait,3607.022747328494,11705.170880242451,-8098.148132913955,-69.184364891102,-1.3158425880764668,1.1480519400350775e-05,1.9073486328125e-06,0.00012628571340385852,2.09808349609375e-05,,
sdsc,PROACTIVE,CONS_BF_USEREST,mean_bounded_slowdown,,,22.051924676412202,119.27536715463019,0.8680289072652645,0.0010033458065813149,0.001209259033203125,0.009030112259231834,0.008464813232421875,40.540171832946875,18.48824715653467
sdsc,PROACTIVE,EASY_ORACLE,mean_bounded_slowdown,,,17.188009987778116,92.96722313506619,0.5735222586540124,0.018951210862878536,0.0042209625244140625,0.11370726517727121,0.025325775146484375,35.676257144312785,18.48824715653467
sdsc,PROACTIVE,EASY_USEREST,mean_bounded_slowdown,,,23.97727398392543,129.6892765491328,0.6982222927511448,0.005606011591574162,0.0004825592041015625,0.0448480927325933,0.0043430328369140625,42.4655211404601,18.48824715653467
sdsc,PROACTIVE,FCFS,mean_bounded_slowdown,,,16.19906317165503,87.618166473556,0.5630453440727062,0.020929338261870552,0.000850677490234375,0.11370726517727121,0.006805419921875,34.6873103281897,18.48824715653467
sdsc,PROACTIVE,FIFO_STRICT,mean_bounded_slowdown,,,263.04164490184195,1422.7505867632774,1.2466504648475316,2.2369471326437435e-05,1.9073486328125e-06,0.00022369471326437435,2.09808349609375e-05,281.52989205837673,18.48824715653467
sdsc,PROACTIVE,HRRN_USEREST,mean_bounded_slowdown,,,-1.6992979061496594,-9.19123317512035,-0.29000476409716536,0.21018096473560957,0.2942523956298828,0.36497191411246444,0.5885047912597656,16.788949250385013,18.48824715653467
sdsc,PROACTIVE,PROACTIVE_EST,mean_bounded_slowdown,,,-3.7815002386279324,-20.453535733328625,-0.5088694180267203,0.03462944942138399,0.005580902099609375,0.13851779768553596,0.027904510498046875,14.706746917906738,18.48824715653467
sdsc,PROACTIVE,SJF_ORACLE,mean_bounded_slowdown,,,-5.309142967902051,-28.716313249985603,-0.6404101084462479,0.009933055249698277,0.006389617919921875,0.06953138674788795,0.027904510498046875,13.179104188632618,18.48824715653467
sdsc,PROACTIVE,SJF_USEREST,mean_bounded_slowdown,,,-3.7855322983462436,-20.47534450559445,-0.4434935105459756,0.06196919911011644,0.04844093322753906,0.1859075973303493,0.1453227996826172,14.702714858188425,18.48824715653467
sdsc,PROACTIVE,SMALLEST_FIRST,mean_bounded_slowdown,,,0.5023469139731154,2.717114876926345,0.3094093286160489,0.18248595705623222,0.5861743444807836,0.36497191411246444,0.5885047912597656,18.990594070507786,18.48824715653467
sdsc,PROACTIVE,SRPT_ORACLE,mean_bounded_slowdown,,,-17.381692994024384,-94.01482383299287,-1.4662638549886988,2.806119801949577e-06,1.9073486328125e-06,3.086731782144535e-05,2.09808349609375e-05,1.1065541625102855,18.48824715653467
sdsc,EASY_USEREST,CONS_BF_USEREST,mean_bounded_slowdown,,,-1.9253493075132275,-4.533911879109856,-0.12702882587999464,0.5766265218699101,0.6790730414946473,0.5766265218699101,0.6790730414946473,40.540171832946875,42.4655211404601
sdsc,EASY_USEREST,EASY_ORACLE,mean_bounded_slowdown,,,-6.789263996147312,-15.987709119807949,-0.7672460154235178,0.0027994595573178718,0.001695889903397192,0.022395676458542974,0.005087669710191576,35.676257144312785,42.4655211404601
sdsc,EASY_USEREST,FCFS,mean_bounded_slowdown,,,-7.778210812270396,-18.316532102698037,-0.3553279679839189,0.12854540561353658,0.058258056640625,0.25709081122707317,0.11651611328125,34.6873103281897,42.4655211404601
sdsc,EASY_USEREST,FIFO_STRICT,mean_bounded_slowdown,,,239.06437091791653,562.9611140934331,1.2920160793248965,1.4426416153085537e-05,1.9073486328125e-06,0.0001586905776839409,2.09808349609375e-05,281.52989205837673,42.4655211404601
sdsc,EASY_USEREST,HRRN_USEREST,mean_bounded_slowdown,,,-25.67657189007509,-60.46451615452114,-0.7236709375921827,0.0043448976584665065,0.0003948211669921875,0.0232479794923512,0.0019741058349609375,16.788949250385013,42.4655211404601
sdsc,EASY_USEREST,PROACTIVE,mean_bounded_slowdown,,,-23.97727398392543,-56.46292177745224,-0.6982222927511448,0.005606011591574162,0.0004825592041015625,0.0232479794923512,0.0019741058349609375,18.48824715653467,42.4655211404601
sdsc,EASY_USEREST,PROACTIVE_EST,mean_bounded_slowdown,,,-27.75877422255336,-65.36779362894828,-0.7350609560821679,0.0038746632487252,8.20159912109375e-05,0.0232479794923512,0.0006561279296875,14.706746917906738,42.4655211404601
sdsc,EASY_USEREST,SJF_ORACLE,mean_bounded_slowdown,,,-29.286416951827476,-68.96516553973031,-0.8183075091575847,0.0016663635477165337,3.62396240234375e-05,0.014997271929448804,0.0003261566162109375,13.179104188632618,42.4655211404601
