mean_wait,max_wait,p95_wait,mean_turnaround,mean_bounded_slowdown,throughput,fairness_gini,gpu_util,preemptions,pred_wait_mae,run,scheduler
15.154545454545454,38.0,34.55,27.654545454545456,2.4961846627041537,0.36666666666666664,0.42833069749686425,0.6079166666666667,0,,5,BACKFILL
15.00909090909091,37.0,33.0,27.509090909090908,2.484410690397885,0.36666666666666664,0.42720665161610044,0.6079166666666667,0,,5,BACKFILL_EST
17.645454545454545,37.0,30.64999999999999,30.145454545454545,2.701089471166167,0.36666666666666664,0.28969603297269453,0.6079166666666667,0,,5,CONS_BF
15.163636363636364,37.0,34.0,27.663636363636364,2.487309088127059,0.36666666666666664,0.43890342271637234,0.6079166666666667,0,6.915562069297514,5,PROACTIVE_BF
11.227272727272727,164.0,65.74999999999999,23.727272727272727,1.6154151878627676,0.36666666666666664,0.8290246595509753,0.628125,47,,5,SRPT
17.10909090909091,66.0,57.55,29.9,2.566283027492568,0.36666666666666664,0.6005023669210704,0.6715625,0,,6,FIFO
23.29090909090909,72.0,65.0,36.08181818181818,3.098068710966613,0.36666666666666664,0.5119508906394152,0.6715625,0,,6,FIFO_STRICT
13.663636363636364,143.0,71.49999999999997,26.454545454545453,1.8671248518032926,0.36666666666666664,0.7661706889251799,0.6715625,0,,6,SJF
14.418181818181818,128.0,75.29999999999998,27.20909090909091,2.0385229326448013,0.36666666666666664,0.7662501432993236,0.6715625,0,,6,SJF_EST
15.290909090909091,135.0,74.74999999999999,28.081818181818182,2.2003473505651243,0.36666666666666664,0.7461571721976002,0.6715625,0,,6,PRIORITY
15.545454545454545,79.0,57.099999999999994,28.336363636363636,2.214476905416252,0.36666666666666664,0.655257841573631,0.6715625,0,,6,HRRN
15.99090909090909,121.0,98.39999999999998,28.78181818181818,2.408795804103643,0.36666666666666664,0.7823194997157475,0.6715625,0,,6,SMALLEST
15.0,121.0,96.84999999999998,27.79090909090909,2.3245035365391407,0.36666666666666664,0.806236914600551,0.6715625,0,16.38295903812078,6,PROACTIVE
15.99090909090909,121.0,98.39999999999998,28.78181818181818,2.408795804103643,0.36666666666666664,0.7823194997157475,0.6715625,0,16.47003679275924,6,NN
17.854545454545455,66.0,58.55,30.645454545454545,2.6387413972961404,0.36666666666666664,0.5813830772079245,0.6715625,0,,6,BACKFILL
17.90909090909091,67.0,58.55,30.7,2.6583743623312297,0.36666666666666664,0.5975634517766498,0.6715625,0,,6,BACKFILL_EST
19.37272727272727,66.0,59.099999999999994,32.163636363636364,2.7394732020411032,0.36666666666666664,0.5211765709654025,0.6715625,0,,6,CONS_BF
18.063636363636363,69.0,58.19999999999999,30.854545454545455,2.6624413123231023,0.36666666666666664,0.5975248204236628,0.6715625,0,11.416941880484492,6,PROACTIVE_BF
